period,CLTCBUS,NGTCPUS,NUETBUS,PAPRPUS,PATCBUS,RETCBUS,TEPRBUS,TETCBUS
1990,19172.635,19173.555,6104.35,7355.307,33499.918,3862.708,68490.245,82255.545
1991,18991.67,19562.067,6422.132,7416.545,32789.101,3901.431,68154.712,82213.947
1992,19122.471,20228.228,6479.206,7171.125,33467.661,3931.748,68025.635,83836.077
1993,19835.148,20789.842,6410.499,6846.665,33685.258,4007.038,66198.081,85191.29
1994,19909.463,21247.099,6693.877,6661.579,34562.796,4056.461,68752.384,87052.554
1995,20088.727,22206.889,7075.436,6559.638,34458.44,4296.643,68866.415,88667.979
1996,21001.914,22609.08,7086.674,6464.527,35673.08,4481.499,69904.326,91403.616
1997,21445.411,22737.342,6596.992,6451.592,36171.675,4463.375,69869.338,91956.252
1998,21655.744,22245.956,7067.809,6251.833,36837.544,4172.699,70507.865,92601.594
1999,21622.544,22405.151,7610.256,5881.458,37854.558,4200.76,69372.654,94231.538
2000,22579.528,23333.121,7862.349,5821.604,38291.878,4095.599,69261.956,96693.59
2001,21914.268,22238.624,8028.853,5801.401,38231.382,3511.945,70027.35,94415.713
2002,21903.989,23027.021,8145.429,5744.078,38293.341,3766.156,68693.081,95575.431
2003,22320.928,22276.502,7959.622,5649.3,38946.809,3915.879,67856.392,95806.493
2004,22466.195,22402.546,8222.774,5440.968,40440.682,4105.527,68200.265,98033.168
2005,22796.543,22014.434,8160.81,5183.822,40560.972,4232.904,67376.27,98100.924
2006,22447.16,21699.071,8214.626,5085.864,40195.632,4480.272,68520.98,97234.944
2007,22749.466,23103.793,8458.589,5073.9,39951.915,4594.859,69409.818,98965.112
2008,22387.437,23277.007,8426.491,4999.671,37591.084,5067.705,71037.906,96646.728
2009,19691.205,22910.078,8355.22,5356.696,35751.706,5292.537,70275.915,91626.429
2010,20833.968,24086.797,8434.433,5484.399,36426.891,5895.677,72536.302,95141.804
2011,19657.784,24477.425,8268.698,5674.207,35815.483,6308.059,75202.198,93966.459
2012,17378.234,25538.487,8061.822,6523.771,35012.198,6150.362,76546.535,91677.322
2013,18038.633,26155.071,8244.433,7495.399,35702.301,6587.023,78984.738,94253.199
2014,17997.632,26593.375,8337.559,8781.45,35977.966,6796.126,84769.454,95331.976
2015,15548.87,27243.857,8336.886,9431.962,36745.304,6823.074,85347.115,94477.752
2016,14225.905,27444.22,8426.753,8850.051,37198.427,7110.105,81047.695,94082.784
2017,13837.465,27139.709,8418.968,9359.581,37525.242,7374.186,84402.769,93886.007
2018,13251.532,30149.304,8438.068,10959.472,38350.772,7526.065,91971.514,97396.35
2019,11315.595,31143.298,8451.852,12313.951,38321.603,7585.664,97601.38,96595.282
2020,9181.109,30602.565,8251.075,11322.907,33637.554,7289.745,91860.129,88870.945
2021,10548.526,30645.707,8130.913,11308.158,36784.096,7645.284,93926.359,93363.948
2022,9887.939,32291.912,8061.02,11992.246,36943.025,8107.36,98609.976,94838.36
2023,8170.788,32629.345,8098.974,12934.508,37287.692,8186.304,102719.202,93619.49
2024,7903.373,33104.609,8173.249,13208.067,37297.712,8581.092,103304.459,94221.709
